Title,Author,Publisher,Date
The Gentleman from San Francisco and Other Stories,Иван Алексеевич Бунин,N/A,1922
Title,Author,Publisher,Date
To the Lighthouse,Virginia Woolf,N/A,1927
Title,Author,Publisher,Date
Three Guineas,Virginia Woolf,Chatto & Windus,1938
Title,Author,Publisher,Date
The Note-books of Anton Tchekhov,Anton Pavlovich Chekhov,IndyPublish.com,1922
Title,Author,Publisher,Date
Jacob's Room,Virginia Woolf,N/A,1923
Title,Author,Publisher,Date
A Room of One's Own,Virginia Woolf,N/A,1929
Title,Author,Publisher,Date
Civilization and Its Discontents,Sigmund Freud,N/A,1939
Title,Author,Publisher,Date
The Common Reader,Virginia Woolf,N/A,1925
Title,Author,Publisher,Date
Mrs. Dalloway,Virginia Woolf,Vintage,1990
Title,Author,Publisher,Date
To the Lighthouse,Virginia Woolf,N/A,1941
Title,Author,Publisher,Date
The Waves,Virginia Woolf,Chatto & Windus,1976
Title,Author,Publisher,Date
Flush,Virginia Woolf,Vintage,1983
Title,Author,Publisher,Date
The Standard Edition of the Complete Psychological Works of Sigmund Freud: Studies on hysteria,Sigmund Freud,N/A,1953
Title,Author,Publisher,Date
The Voyage Out,Virginia Woolf,ReadHowYouWant.com,2009-02-19
Title,Author,Publisher,Date
The Moment,Virginia Woolf,"London, Hogarth Press",1947
Title,Author,Publisher,Date
Orlando,Virginia Woolf,N/A,1990
Title,Author,Publisher,Date
Jacob's Room,Virginia Woolf,Random House (UK),1990
Title,Author,Publisher,Date
The Standard Edition of the Complete Psychological Works of Sigmund Freud,Sigmund Freud,N/A,1975
Title,Author,Publisher,Date
Night and Day,Woolf V.,Рипол Классик,1960
Title,Author,Publisher,Date
The Political and Social Doctrine of Fascism,Benito Mussolini,N/A,1937
Title,Author,Publisher,Date
The Essays of Virginia Woolf: 1925-1928,Virginia Woolf,Chatto & Windus,1986
Title,Author,Publisher,Date
Moses and Monotheism,Sigmund Freud,N/A,1951
Title,Author,Publisher,Date
Tragedy in Relation to Aristotle's Poetics,Frank Laurence Lucas,N/A,1927
Title,Author,Publisher,Date
The Waves,"Virginia Woolf, Hogarth Press",N/A,1931
Title,Author,Publisher,Date
The Years,"Virginia Woolf, Hogarth Press",L. and Virginia Woolf,1937
Title,Author,Publisher,Date
The Diary of Virginia Woolf,Virginia Woolf,N/A,1982
Title,Author,Publisher,Date
The Interpretation of Dreams,Sigmund Freud,N/A,1953
Title,Author,Publisher,Date
The Rise of the Novel,Ian Watt,Random House (UK),1987
Title,Author,Publisher,Date
