Title,Author,Price
An Autobiographical Study,"FREUD, Sigmund",US$ 310.32
New Country: Prose and Poetry by the authors of New Signatures.,"Michael Roberts. C. Day Lewis, Christopher Isherwood, W. H. Auden, Richard Goodman, Stephen Spender, et al.",US$ 38.79
Ten Letter- Writers.,Lyn Ll. Irvine.,US$ 38.79
Between the Acts.,Virginia Woolf.,US$ 58.18
The Years.,Virginia Woolf.,US$ 58.18
The Common Reader.,Virginia Woolf.,US$ 58.18
The Hogarth Letters,"E.M. Forster, Viscount Cecil, Rosamond Lehman, Raymond Mortimer, Francis Birrell, L.A.G. Strong, Virginia Woolf, Hugh Walpole, J.C. Hardwick, Louis Golding, and Peter Quennell.",US$ 290.92
A Room of One's Own [Uniform Edition],"Woolf, Virginia",US$ 57.61
Pharos and Pharillon,"Forster, E. M.",US$ 175.00
Civilization and Its Discontents [First English Edition],Sigmund Freud (Joan Riviere (Trans.)),US$ 452.55
A Room of One's Own,Virginia Woolf,US$ 49.90
Index Psychoanalyticus 1893-1926,"RICKMAN, JOHN (Compiled by)",US$ 15.77
THE YEARS,"WOOLF, VIRGINIA",US$ 150.00
SADO.,"PLOMER, William.",US$ 77.58
Orlando,"WOOLF, Virginia","US$ 1,250.00"
The Years,"WOOLF, Virginia",US$ 77.58
THE PSYCHOLOGY OF CLOTHES International Psycho-Analytical Library No. 18,FLUGEL J.C.,US$ 32.32
The Dark Island,"Sackvile-West, V.",US$ 28.45
Roger Fry. A Biography,"Woolf, Virginia",US$ 116.76
Flush,"Woolf, Virginia",US$ 250.00
Words and Poetry.,George H. W. Rylands.,US$ 90.51
Orlando: A Biography.,Virginia Woolf.,US$ 161.62
The Nice Old Man and the Pretty Girl and Other Stories,"SVEVO, Italo",US$ 200.00
Kew Gardens. Decorated by Vanessa Bell.,"WOOLF, Virginia.","US$ 8,727.69"
Poems,"Bell, Clive",US$ 400.00
A Room of One's Own,"Woolf, Virginia","US$ 5,000.00"
"Reminiscences of Tolstoy, Chekhov and Andreev.",Maxim Gorky,US$ 25.86
Night and Day,Virginia Woolf,US$ 59.93
Jacob's Room,"Woolf, Virginia","US$ 7,500.00"
A Childhood. With wood engravings by Enid Marx,"ALLINSON, Francesca",US$ 77.58
POETRY & CRITICISM,"Sitwell, Edith",US$ 130.00
IN RETREAT,"Read, Herbert",US$ 180.00
KEW GARDENS,"WOOLF, Virginia","US$ 10,625.00"
The Years.,"WOOLF, Virginia.","US$ 1,292.99"
Three Guineas,Virginia Woolf,US$ 129.30
Aesthetics and Psychology,"Mauron, Charles",US$ 150.00
Collection of Virginia Woolf: Three Guineas; Flush: a Biography,"Woolf, Virginia",US$ 150.00
The Common Reader: Second Series,"Woolf, Virginia",US$ 499.99
Flush: A Biography.,"WOOLF, Virginia.",US$ 187.48
Mrs dalloway new edition 1929 (third) Virginia Woolf good,Virginia Woolf,US$ 399.00
The Note-Books of Anton Tchekhov,Tchekhov Anton,US$ 51.72
The Common Reader: Second Series,"Woolf, Virginia",US$ 850.00
Flush. A Biography.,Woolf (Virginia),US$ 355.57
Mrs. Dalloway,"Woolf, Virginia; [Wheatley, Dennis].","US$ 55,000.00"
Flush: A Biography,"Woolf, Virginia",US$ 500.00
Kew Gardens,"Woolf, Virginia","US$ 7,500.00"
Orlando,"WOOLF, Virginia",US$ 45.25
Flush: A Biography,Virginia Woolf,US$ 19.33
Pepita,V. Sackville-West,US$ 13.31
A Letter To A Grandfather,"WEST, Rebecca",US$ 30.00
Family History,V. Sackville-West,US$ 21.72
The Case is Altered,"Plomer, William",US$ 29.95
Disarmament,"Baker, P. J. N.",US$ 7.78
Pepita,Vita Sackville-West,US$ 840.44
Tribune of Rome: A Biography of Cola di Rienzo,Iris Origo,US$ 80.17
THE DIARY OF MONTAIGNE'S JOURNEY IN ITALY IN 1580 AND 1581. Translated with an Introduction and Notes by E.J. Trechmann.,MONTAIGNE Michael Eyquem De.,US$ 55.44
A Room of One's Own,"WOOLF, Virginia (1882-1941) [Ian Fleming association copy]","US$ 1,131.37"
THE FRENCH PICTURES. A LETTER TO HARRIET signed by Raymond Mortimer,"Mortimer, Raymond",US$ 120.00
Ritual Psycho-Analytic Studies.,"Reik, Theodor",US$ 45.19
The Years,"Woolf, Virginia",US$ 624.51
Art and Commerce,Roger Fry,US$ 42.40
England's Pleasant Land: A Pageant Play.,"Forster, E. M.",US$ 118.41
"IN A GLASSINE DUSTJACKET Beelzebub and other Poems: Hogarth Living Poets, No 3",R C Trevelyan,US$ 122.83
Walter Sickert: A conversation,Virginia Woolf,US$ 161.62
MONDAY OR TUESDAY,"Woolf, Virginia. [Vanessa Bell]","US$ 3,500.00"
The Common Reader Second Series : Second printing : No jacket,"Woolf, Virginia",US$ 64.59
Jacob`s Room. New Edition.,"Woolf, Virginia.",US$ 33.26
A Room of One`s Own.,"Woolf, Virginia.","US$ 1,086.61"
Deserted House: A Poem-Sequence: Hogarth Living Poets No.16,"Wellesley, Dorothy",US$ 58.18
The Common Reader: Second Series,"Woolf, Virginia",US$ 45.00
Stravinsky's Sacrifice to Apollo.,"WHITE, Eric Walter.",US$ 193.95
How to Make a Revolution.,"POSTGATE, Raymond.","US$ 1,228.34"
Socrates,"Mitchison, Naomi and R.H.S. Crossman",US$ 26.54
"A Woman of India, Saroj Nalini",G. S. Dutt,US$ 19.39
THE AMBERLEY PAPERS. The Letter and Diaries of Lord and Lady Amberley.,RUSSELL John e Patricia.,US$ 72.07
Mrs. Dalloway.,"WOOLF, Virginia.","US$ 4,525.47"
A Letter to Mrs. Virginia Woolf.,"QUENNELL, Peter.:",US$ 12.93
Selected Poems,Sackville-West V.,US$ 8.39
The Gentleman from San Francisco and Other Stories,I. A. Bunin,US$ 120.00
All Passion Spent.,Sackville-West.,US$ 32.32
Daybreak.,Shove (Fredegond),"US$ 1,034.39"
Poems.,Bell (Clive),US$ 517.20
Prelude.,Mansfield (Katherine),"US$ 8,404.44"
A Flying Scroll.,Snaith (Stanley),"US$ 1,616.24"
Poems.,Rylands (George),US$ 290.92
Ladies and Gentlemen in Victorian Fiction,"Delafield, E. M.",US$ 7.49
Three Guineas,"WOOLF, Virginia",US$ 38.79
Between the Acts,"Woolf, Virginia",US$ 145.00
A Room of One's Own,"Woolf, Virginia","US$ 3,500.00"
The End of Laissez-Faire.,"KEYNES, John Maynard.",US$ 452.55
To The Lighthouse,Virginia Woolf,US$ 193.95
Sally Bowles,"Isherwood, Christopher",US$ 135.55
Civilization and Its Discontents. Authorized Translation by Joan Riviere,"Freud, Sigmund","US$ 5,000.00"
Psycho-Analysis of the Neuroses. . Translated by W.D. Robson-Scott,"Deutsch, Dr. Helene",US$ 250.00
"Inhibitions, Symptoms and Anxiety. Authorized translation by Alix Strachey","Freud, Sigmund",US$ 375.00
Between the Acts,"Woolf, Virginia",US$ 700.00
Roan Stallion Tamar and Other Poems,"Jeffers, Robinson",US$ 225.00
Beelzebub and other Poems,"Trevelyan, R.C.",US$ 250.00
Later Poems . Translated from the German with an introduction and commentary by J. B. Leishman,"Rilke, Rainer Maria",US$ 225.00
New Country. Prose and Poetry by the authors of New Signatures,"Roberts, Michael, editor",US$ 250.00
Grace after Meat . with an Introduction by Robert Graves,"Ransom, John Crowe",US$ 500.00
Senlin: A Biography,"Aiken, Conrad","US$ 1,000.00"
Songs of Salvation Sin and Satire,"Palmer, Herbert E.",US$ 500.00
Early Socialist Days,"Sanders, W. Stephen",US$ 500.00
Anonymity An Enquiry,"Forster, E.M.",US$ 300.00
Henry James at Work,"Bosanquet, Theodora","US$ 1,750.00"
"Woodcut self portrait, 1921 [from Twelve Original Woodcuts]","Fry, Roger","US$ 1,750.00"
The Amberley Papers. The Letter and Diaries of Lord and Lady Amberley. Edited by Bertrand and Patricia Russell,"Amberley, Lord and Lady; Bertrand and Patricia Russell, editors",US$ 750.00
Party Going,"Green, Henry","US$ 1,000.00"
A Childhood,"Allinson, Francesa",US$ 500.00
Requiem and other Poems. Transated from the German and with an introduction by J. B. Leishman,"Rilke, Rainer Maria",US$ 225.00
The Critic in Judgment or Belshazzar of Baronscourt,"Murry, John Middleton","US$ 2,500.00"
Noah and the Waters,"Day Lewis, C.",US$ 75.00
The Magnetic Mountain,"Day Lewis, C.",US$ 75.00
Poems,"Tiller, Terence",US$ 75.00
What to Do with the B.B.C.,"Postgate, Raymond",US$ 75.00
The Bankers of London,"Arnold, Percy",US$ 125.00
"Mazzini, Garibaldi & Cavour","Strachey, Marjorie",US$ 125.00
Socrates,"Mitchison, Naomi, and R.H.S. Crossman",US$ 50.00
A Letter to a Modern Novelist,"Walpole, Hugh",US$ 100.00
Darwin,"[Snell, Reginald] L.B. Pekin (pseudonym)",US$ 125.00
Land and Freedom,"Verinder, Frederick",US$ 75.00
The Judgment of François Villon. A Pageant-Episode Play in Five Acts,"Palmer, Herbert Edward",US$ 175.00
Phases of English Poetry,"Read, Herbert",US$ 75.00
Poetry in France and England,"Stewart, Jean",US$ 125.00
The Case Is Altered,"Plomer, William",US$ 50.00
The Writings of E.M. Forster,"(Forster, E.M) Macaulay, Rose",US$ 50.00
Cavender's House,"Robinson, Edwin Arlington",US$ 75.00
Transition. Essays on Contemporary Literature,"Muir, Edwin",US$ 175.00
The Tragedy of Man. Translated from the Hungarian by Charles Sanger,"Madách, Imre",US$ 100.00
The Authorship of Wuthering Heights,"Willis, Irene Cooper",US$ 175.00
Collected Poems 1929 to 1933. Transitional Poem. From Feathers to Iron. The Magnetic Mountain,"Day Lewis, C.",US$ 50.00
The Marionette,"Muir, Edwin",US$ 75.00
Contemporary Techniques of Poetry. A Political Analogy,"Graves, Robert",US$ 100.00
The New Realism. A Discussion,"Spender, Stephen",US$ 50.00
Law and Justice in Soviet Russia,"Laski, Harold J.",US$ 50.00
The Structure of the Novel,"Muir, Edwin",US$ 50.00
The Medium of Poetry,"Sutherland, James",US$ 75.00
Mr. Roosevelt's Experiments,"Bailey, S.H.",US$ 100.00
Windless Sky,"Faulkner, Fritz",US$ 150.00
Tragedy in relation to Aristotle's Poetics,"Lucas, F.L.",US$ 50.00
L.E.L. A Mystery of the Thirties,"(Landon, Leititia Elizabeth) Enfield, D.E.",US$ 125.00
Pepita,"Sackville-West, V.",US$ 125.00
The Case Is Altered,"Plomer, William",US$ 50.00
The Case Is Altered,"Plomer, William",US$ 50.00
The Mark on the Wall,"Woolf, Virginia","US$ 1,500.00"
A Letter to a Young Poet : Hogarth Letters No. 8,"Woolf, Virginia",US$ 48.95
Folios of New Writings,"Thomas, D et al",US$ 2.59
