Title,Authors,Date,Price
The Waves,Virginia Woolf,1931,"US $1,300.00"
The Years,Virginia Woolf,1938,US $380.00
A History of Socialism,Sally Graves,1939,US $40.00
To the Lighthouse,Virginia Woolf,1927,US $50.00
Flush,Virginia Woolf,1933,US $450.00
The Waves,Virginia Woolf,1931,US $150.00
The Waves,Virginia Woolf,1931,US $60.00
Journey to the Border,Edward Upward,1938,"US $2,350.00"
"Civilization, War and Death",Sigmund Freud,1939,US $6.77
The Waves,Virginia Woolf,1931,US $50.00
Night and Day,Virginia Woolf,1929,US $49.95
The Common Reader,Virginia Woolf,1925,GBP 55.00
The Common Reader,Virginia Woolf,1925,US $79.95
On Being Ill,Virginia Woolf,1930,"US $7,000.00"
Sissinghurst,Vita Sackville-West,1931,US $292.59
Poems,C.N. Sidney Woolf,1918,US $148.69
Poems,TS Eliot,1919,US $148.69
Poems,Clive Bell,1921,US $148.69
Poems,Frank Prewett,1921,US $148.69
Poems,GH Luce,1923,US $148.69
Poems,Barrington Gates,1925,US $148.69
Poems,George Rylands,1931,US $148.69
Poems,Maria Rainer Rilke,1934,US $148.69
Poems,Christopher Lee,1937,US $148.69
Poems,Kenneth Allott,1938,US $148.69
Poems,Terence Tiller,1941,US $148.69
Jacob’s Room,Virginia Woolf,1922,GBP 30.00
The Years,Virginia Woolf,1938,US $750.00
The Common Reader,Virginia Woolf,1925,GBP 19.99
The Years,Virginia Woolf,1938,US $468.00
Letters,Stephen Reynolds,1923,US $650.00
Psycho-analysis of the Neuroses,Helene Deutsch,1932,US $29.00
The Ego and the Mechanisms of Defence,Anna Freud,1937,US $24.99
Night and Day,Virginia Woolf,1929,US $39.99
Parallax,Nancy Cunard,1925,US $750.00
Between the Acts,Virginia Woolf,1941,US $800.00
Turbott Wolfe,William Plomer,1925,US $100.00
The Years,Virginia Woolf,1938,GBP 35.00
To the Lighthouse,Virginia Woolf,1927,"US $1,495.00"
The Waves,Virginia Woolf,1931,"US $5,049.05"
Collected Papers,Sigmund Freud,1924,US $15.00
Goodbye to Berlin,Christopher Isherwood,1939,US $200.00
Sally Bowles,Christopher Isherwood,1937,US $150.00
The Psychology of Clothes,JC Flugel,1930,US $99.00
The Years,Virginia Woolf,1938,GBP 80.00
All Passion Spent,Vita Sackville-West,1931,GBP 18.00
The Waves,Virginia Woolf,1931,"GBP 3,770.00"
Seducers in Ecuador,Vita Sackville-West,1924,US $350.00
Between the Acts,Virginia Woolf,1941,US $49.99
